sensor_id,date,datetime_utc,datetime_local,value_avg,parameter,units,min,max,q25,median,q75,std,expected_count,observed_count,percent_complete,location_id,location_name,latitude,longitude,aqi,aqi_after_12h,actual_lag_hours,hour,day_of_week,month,year
7745,2017-02-18,2017-02-18 13:00:00+00:00,2017-02-18 13:00:00+00:00,7.23,no2,µg/m³,7.23,7.23,7.23,7.23,7.23,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,7.0,29.0,12.0,13,5,2,2017
7745,2017-02-18,2017-02-18 14:00:00+00:00,2017-02-18 14:00:00+00:00,7.93,no2,µg/m³,7.93,7.93,7.93,7.93,7.93,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,7.0,22.0,12.0,14,5,2,2017
7745,2017-02-18,2017-02-18 15:00:00+00:00,2017-02-18 15:00:00+00:00,7.9,no2,µg/m³,7.9,7.9,7.9,7.9,7.9,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,7.0,19.0,12.0,15,5,2,2017
7745,2017-02-18,2017-02-18 16:00:00+00:00,2017-02-18 16:00:00+00:00,10.7,no2,µg/m³,10.68,10.68,10.68,10.68,10.68,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,10.0,17.0,12.0,16,5,2,2017
7745,2017-02-18,2017-02-18 17:00:00+00:00,2017-02-18 17:00:00+00:00,10.1,no2,µg/m³,10.1,10.1,10.1,10.1,10.1,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,10.0,16.0,12.0,17,5,2,2017
7745,2017-02-18,2017-02-18 18:00:00+00:00,2017-02-18 18:00:00+00:00,14.1,no2,µg/m³,14.05,14.05,14.05,14.05,14.05,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,13.0,13.0,12.0,18,5,2,2017
7745,2017-02-18,2017-02-18 19:00:00+00:00,2017-02-18 19:00:00+00:00,24.6,no2,µg/m³,24.55,24.55,24.55,24.55,24.55,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,23.0,17.0,12.0,19,5,2,2017
7745,2017-02-18,2017-02-18 20:00:00+00:00,2017-02-18 20:00:00+00:00,46.4,no2,µg/m³,46.43,46.43,46.43,46.43,46.43,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,44.0,21.0,12.0,20,5,2,2017
7745,2017-02-18,2017-02-18 21:00:00+00:00,2017-02-18 21:00:00+00:00,42.9,no2,µg/m³,42.9,42.9,42.9,42.9,42.9,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,40.0,17.0,12.0,21,5,2,2017
7745,2017-02-18,2017-02-18 22:00:00+00:00,2017-02-18 22:00:00+00:00,37.3,no2,µg/m³,37.25,37.25,37.25,37.25,37.25,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,35.0,9.0,12.0,22,5,2,2017
7745,2017-02-18,2017-02-18 23:00:00+00:00,2017-02-18 23:00:00+00:00,30.9,no2,µg/m³,30.88,30.88,30.88,30.88,30.88,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,29.0,8.0,12.0,23,5,2,2017
7745,2017-02-19,2017-02-19 00:00:00+00:00,2017-02-19 00:00:00+00:00,29.5,no2,µg/m³,29.45,29.45,29.45,29.45,29.45,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,28.0,9.0,12.0,0,6,2,2017
7745,2017-02-19,2017-02-19 01:00:00+00:00,2017-02-19 01:00:00+00:00,30.5,no2,µg/m³,30.45,30.45,30.45,30.45,30.45,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,29.0,8.0,12.0,1,6,2,2017
7745,2017-02-19,2017-02-19 02:00:00+00:00,2017-02-19 02:00:00+00:00,23.1,no2,µg/m³,23.08,23.08,23.08,23.08,23.08,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,22.0,8.0,12.0,2,6,2,2017
7745,2017-02-19,2017-02-19 03:00:00+00:00,2017-02-19 03:00:00+00:00,20.4,no2,µg/m³,20.43,20.43,20.43,20.43,20.43,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,19.0,7.0,12.0,3,6,2,2017
7745,2017-02-19,2017-02-19 04:00:00+00:00,2017-02-19 04:00:00+00:00,18.1,no2,µg/m³,18.1,18.1,18.1,18.1,18.1,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,17.0,7.0,12.0,4,6,2,2017
7745,2017-02-19,2017-02-19 05:00:00+00:00,2017-02-19 05:00:00+00:00,16.9,no2,µg/m³,16.85,16.85,16.85,16.85,16.85,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,16.0,8.0,12.0,5,6,2,2017
7745,2017-02-19,2017-02-19 06:00:00+00:00,2017-02-19 06:00:00+00:00,13.9,no2,µg/m³,13.9,13.9,13.9,13.9,13.9,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,13.0,11.0,12.0,6,6,2,2017
7745,2017-02-19,2017-02-19 07:00:00+00:00,2017-02-19 07:00:00+00:00,18.5,no2,µg/m³,18.45,18.45,18.45,18.45,18.45,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,17.0,15.0,12.0,7,6,2,2017
7745,2017-02-19,2017-02-19 08:00:00+00:00,2017-02-19 08:00:00+00:00,22.4,no2,µg/m³,22.35,22.35,22.35,22.35,22.35,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,21.0,11.0,12.0,8,6,2,2017
7745,2017-02-19,2017-02-19 09:00:00+00:00,2017-02-19 09:00:00+00:00,18.2,no2,µg/m³,18.18,18.18,18.18,18.18,18.18,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,17.0,12.0,12.0,9,6,2,2017
7745,2017-02-19,2017-02-19 10:00:00+00:00,2017-02-19 10:00:00+00:00,10.0,no2,µg/m³,10.0,10.0,10.0,10.0,10.0,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,9.0,12.0,12.0,10,6,2,2017
7745,2017-02-19,2017-02-19 11:00:00+00:00,2017-02-19 11:00:00+00:00,8.88,no2,µg/m³,8.88,8.88,8.88,8.88,8.88,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,8.0,10.0,12.0,11,6,2,2017
7745,2017-02-19,2017-02-19 12:00:00+00:00,2017-02-19 12:00:00+00:00,9.25,no2,µg/m³,9.25,9.25,9.25,9.25,9.25,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,9.0,9.0,12.0,12,6,2,2017
7745,2017-02-19,2017-02-19 13:00:00+00:00,2017-02-19 13:00:00+00:00,8.63,no2,µg/m³,8.63,8.63,8.63,8.63,8.63,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,8.0,10.0,12.0,13,6,2,2017
7745,2017-02-19,2017-02-19 14:00:00+00:00,2017-02-19 14:00:00+00:00,8.15,no2,µg/m³,8.15,8.15,8.15,8.15,8.15,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,8.0,8.0,12.0,14,6,2,2017
7745,2017-02-19,2017-02-19 15:00:00+00:00,2017-02-19 15:00:00+00:00,7.85,no2,µg/m³,7.85,7.85,7.85,7.85,7.85,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,7.0,8.0,12.0,15,6,2,2017
7745,2017-02-19,2017-02-19 16:00:00+00:00,2017-02-19 16:00:00+00:00,7.35,no2,µg/m³,7.35,7.35,7.35,7.35,7.35,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,7.0,8.0,12.0,16,6,2,2017
7745,2017-02-19,2017-02-19 17:00:00+00:00,2017-02-19 17:00:00+00:00,8.15,no2,µg/m³,8.15,8.15,8.15,8.15,8.15,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,8.0,10.0,12.0,17,6,2,2017
7745,2017-02-19,2017-02-19 18:00:00+00:00,2017-02-19 18:00:00+00:00,11.4,no2,µg/m³,11.35,11.35,11.35,11.35,11.35,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,11.0,12.0,12.0,18,6,2,2017
7745,2017-02-19,2017-02-19 19:00:00+00:00,2017-02-19 19:00:00+00:00,15.8,no2,µg/m³,15.78,15.78,15.78,15.78,15.78,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,15.0,15.0,12.0,19,6,2,2017
7745,2017-02-19,2017-02-19 20:00:00+00:00,2017-02-19 20:00:00+00:00,11.6,no2,µg/m³,11.6,11.6,11.6,11.6,11.6,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,11.0,12.0,12.0,20,6,2,2017
7745,2017-02-19,2017-02-19 21:00:00+00:00,2017-02-19 21:00:00+00:00,13.1,no2,µg/m³,13.08,13.08,13.08,13.08,13.08,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,12.0,17.0,12.0,21,6,2,2017
7745,2017-02-19,2017-02-19 22:00:00+00:00,2017-02-19 22:00:00+00:00,12.7,no2,µg/m³,12.73,12.73,12.73,12.73,12.73,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,12.0,16.0,12.0,22,6,2,2017
7745,2017-02-19,2017-02-19 23:00:00+00:00,2017-02-19 23:00:00+00:00,10.4,no2,µg/m³,10.35,10.35,10.35,10.35,10.35,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,10.0,13.0,12.0,23,6,2,2017
7745,2017-02-20,2017-02-20 00:00:00+00:00,2017-02-20 00:00:00+00:00,9.8,no2,µg/m³,9.8,9.8,9.8,9.8,9.8,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,9.0,11.0,12.0,0,0,2,2017
7745,2017-02-20,2017-02-20 01:00:00+00:00,2017-02-20 01:00:00+00:00,11.1,no2,µg/m³,11.1,11.1,11.1,11.1,11.1,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,10.0,9.0,12.0,1,0,2,2017
7745,2017-02-20,2017-02-20 02:00:00+00:00,2017-02-20 02:00:00+00:00,8.68,no2,µg/m³,8.68,8.68,8.68,8.68,8.68,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,8.0,9.0,12.0,2,0,2,2017
7745,2017-02-20,2017-02-20 03:00:00+00:00,2017-02-20 03:00:00+00:00,9.0,no2,µg/m³,9.0,9.0,9.0,9.0,9.0,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,8.0,9.0,12.0,3,0,2,2017
7745,2017-02-20,2017-02-20 04:00:00+00:00,2017-02-20 04:00:00+00:00,8.83,no2,µg/m³,8.83,8.83,8.83,8.83,8.83,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,8.0,9.0,12.0,4,0,2,2017
7745,2017-02-20,2017-02-20 05:00:00+00:00,2017-02-20 05:00:00+00:00,10.5,no2,µg/m³,10.53,10.53,10.53,10.53,10.53,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,10.0,10.0,12.0,5,0,2,2017
7745,2017-02-20,2017-02-20 06:00:00+00:00,2017-02-20 06:00:00+00:00,13.1,no2,µg/m³,13.05,13.05,13.05,13.05,13.05,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,12.0,11.0,12.0,6,0,2,2017
7745,2017-02-20,2017-02-20 07:00:00+00:00,2017-02-20 07:00:00+00:00,15.8,no2,µg/m³,15.78,15.78,15.78,15.78,15.78,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,15.0,13.0,12.0,7,0,2,2017
7745,2017-02-20,2017-02-20 08:00:00+00:00,2017-02-20 08:00:00+00:00,12.5,no2,µg/m³,12.53,12.53,12.53,12.53,12.53,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,12.0,11.0,12.0,8,0,2,2017
7745,2017-02-20,2017-02-20 09:00:00+00:00,2017-02-20 09:00:00+00:00,18.1,no2,µg/m³,18.13,18.13,18.13,18.13,18.13,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,17.0,10.0,12.0,9,0,2,2017
7745,2017-02-20,2017-02-20 10:00:00+00:00,2017-02-20 10:00:00+00:00,17.0,no2,µg/m³,17.03,17.03,17.03,17.03,17.03,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,16.0,9.0,12.0,10,0,2,2017
7745,2017-02-20,2017-02-20 11:00:00+00:00,2017-02-20 11:00:00+00:00,13.7,no2,µg/m³,13.68,13.68,13.68,13.68,13.68,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,13.0,8.0,12.0,11,0,2,2017
7745,2017-02-20,2017-02-20 12:00:00+00:00,2017-02-20 12:00:00+00:00,11.4,no2,µg/m³,11.4,11.4,11.4,11.4,11.4,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,11.0,7.0,12.0,12,0,2,2017
7745,2017-02-20,2017-02-20 13:00:00+00:00,2017-02-20 13:00:00+00:00,9.7,no2,µg/m³,9.7,9.7,9.7,9.7,9.7,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,9.0,6.0,12.0,13,0,2,2017
7745,2017-02-20,2017-02-20 14:00:00+00:00,2017-02-20 14:00:00+00:00,9.65,no2,µg/m³,9.65,9.65,9.65,9.65,9.65,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,9.0,6.0,12.0,14,0,2,2017
7745,2017-02-20,2017-02-20 15:00:00+00:00,2017-02-20 15:00:00+00:00,9.05,no2,µg/m³,9.05,9.05,9.05,9.05,9.05,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,9.0,5.0,12.0,15,0,2,2017
7745,2017-02-20,2017-02-20 16:00:00+00:00,2017-02-20 16:00:00+00:00,9.5,no2,µg/m³,9.5,9.5,9.5,9.5,9.5,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,9.0,5.0,12.0,16,0,2,2017
7745,2017-02-20,2017-02-20 17:00:00+00:00,2017-02-20 17:00:00+00:00,10.6,no2,µg/m³,10.55,10.55,10.55,10.55,10.55,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,10.0,6.0,12.0,17,0,2,2017
7745,2017-02-20,2017-02-20 18:00:00+00:00,2017-02-20 18:00:00+00:00,11.9,no2,µg/m³,11.85,11.85,11.85,11.85,11.85,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,11.0,6.0,12.0,18,0,2,2017
7745,2017-02-20,2017-02-20 19:00:00+00:00,2017-02-20 19:00:00+00:00,13.5,no2,µg/m³,13.5,13.5,13.5,13.5,13.5,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,13.0,6.0,12.0,19,0,2,2017
7745,2017-02-20,2017-02-20 20:00:00+00:00,2017-02-20 20:00:00+00:00,11.5,no2,µg/m³,11.5,11.5,11.5,11.5,11.5,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,11.0,7.0,12.0,20,0,2,2017
7745,2017-02-20,2017-02-20 21:00:00+00:00,2017-02-20 21:00:00+00:00,10.5,no2,µg/m³,10.48,10.48,10.48,10.48,10.48,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,10.0,7.0,12.0,21,0,2,2017
7745,2017-02-20,2017-02-20 22:00:00+00:00,2017-02-20 22:00:00+00:00,9.7,no2,µg/m³,9.7,9.7,9.7,9.7,9.7,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,9.0,7.0,12.0,22,0,2,2017
7745,2017-02-20,2017-02-20 23:00:00+00:00,2017-02-20 23:00:00+00:00,8.05,no2,µg/m³,8.05,8.05,8.05,8.05,8.05,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,8.0,8.0,12.0,23,0,2,2017
7745,2017-02-21,2017-02-21 00:00:00+00:00,2017-02-21 00:00:00+00:00,7.03,no2,µg/m³,7.03,7.03,7.03,7.03,7.03,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,7.0,8.0,12.0,0,1,2,2017
7745,2017-02-21,2017-02-21 01:00:00+00:00,2017-02-21 01:00:00+00:00,6.38,no2,µg/m³,6.38,6.38,6.38,6.38,6.38,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,6.0,9.0,12.0,1,1,2,2017
7745,2017-02-21,2017-02-21 02:00:00+00:00,2017-02-21 02:00:00+00:00,5.88,no2,µg/m³,5.88,5.88,5.88,5.88,5.88,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,6.0,8.0,12.0,2,1,2,2017
7745,2017-02-21,2017-02-21 03:00:00+00:00,2017-02-21 03:00:00+00:00,5.73,no2,µg/m³,5.73,5.73,5.73,5.73,5.73,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,5.0,7.0,12.0,3,1,2,2017
7745,2017-02-21,2017-02-21 04:00:00+00:00,2017-02-21 04:00:00+00:00,5.33,no2,µg/m³,5.33,5.33,5.33,5.33,5.33,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,5.0,8.0,12.0,4,1,2,2017
7745,2017-02-21,2017-02-21 05:00:00+00:00,2017-02-21 05:00:00+00:00,5.95,no2,µg/m³,5.95,5.95,5.95,5.95,5.95,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,6.0,9.0,12.0,5,1,2,2017
7745,2017-02-21,2017-02-21 06:00:00+00:00,2017-02-21 06:00:00+00:00,6.6,no2,µg/m³,6.6,6.6,6.6,6.6,6.6,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,6.0,9.0,12.0,6,1,2,2017
7745,2017-02-21,2017-02-21 07:00:00+00:00,2017-02-21 07:00:00+00:00,6.8,no2,µg/m³,6.8,6.8,6.8,6.8,6.8,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,6.0,10.0,12.0,7,1,2,2017
7745,2017-02-21,2017-02-21 08:00:00+00:00,2017-02-21 08:00:00+00:00,6.95,no2,µg/m³,6.95,6.95,6.95,6.95,6.95,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,7.0,9.0,12.0,8,1,2,2017
7745,2017-02-21,2017-02-21 09:00:00+00:00,2017-02-21 09:00:00+00:00,7.53,no2,µg/m³,7.53,7.53,7.53,7.53,7.53,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,7.0,7.0,12.0,9,1,2,2017
7745,2017-02-21,2017-02-21 10:00:00+00:00,2017-02-21 10:00:00+00:00,7.55,no2,µg/m³,7.55,7.55,7.55,7.55,7.55,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,7.0,6.0,12.0,10,1,2,2017
7745,2017-02-21,2017-02-21 11:00:00+00:00,2017-02-21 11:00:00+00:00,8.78,no2,µg/m³,8.78,8.78,8.78,8.78,8.78,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,8.0,5.0,12.0,11,1,2,2017
7745,2017-02-21,2017-02-21 12:00:00+00:00,2017-02-21 12:00:00+00:00,8.73,no2,µg/m³,8.73,8.73,8.73,8.73,8.73,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,8.0,5.0,12.0,12,1,2,2017
7745,2017-02-23,2017-02-23 01:00:00+00:00,2017-02-23 01:00:00+00:00,4.0,no2,µg/m³,4.0,4.0,4.0,4.0,4.0,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,4.0,4.0,12.0,1,3,2,2017
7745,2017-02-23,2017-02-23 02:00:00+00:00,2017-02-23 02:00:00+00:00,3.95,no2,µg/m³,3.95,3.95,3.95,3.95,3.95,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,4.0,5.0,12.0,2,3,2,2017
7745,2017-02-23,2017-02-23 03:00:00+00:00,2017-02-23 03:00:00+00:00,3.93,no2,µg/m³,3.93,3.93,3.93,3.93,3.93,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,4.0,6.0,12.0,3,3,2,2017
7745,2017-02-23,2017-02-23 04:00:00+00:00,2017-02-23 04:00:00+00:00,3.98,no2,µg/m³,3.98,3.98,3.98,3.98,3.98,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,4.0,5.0,12.0,4,3,2,2017
7745,2017-02-23,2017-02-23 05:00:00+00:00,2017-02-23 05:00:00+00:00,3.78,no2,µg/m³,3.78,3.78,3.78,3.78,3.78,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,4.0,6.0,12.0,5,3,2,2017
7745,2017-02-23,2017-02-23 06:00:00+00:00,2017-02-23 06:00:00+00:00,4.05,no2,µg/m³,4.05,4.05,4.05,4.05,4.05,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,4.0,5.0,12.0,6,3,2,2017
7745,2017-02-23,2017-02-23 07:00:00+00:00,2017-02-23 07:00:00+00:00,5.15,no2,µg/m³,5.15,5.15,5.15,5.15,5.15,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,5.0,5.0,12.0,7,3,2,2017
7745,2017-02-23,2017-02-23 08:00:00+00:00,2017-02-23 08:00:00+00:00,8.53,no2,µg/m³,8.53,8.53,8.53,8.53,8.53,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,8.0,4.0,12.0,8,3,2,2017
7745,2017-02-23,2017-02-23 09:00:00+00:00,2017-02-23 09:00:00+00:00,8.93,no2,µg/m³,8.93,8.93,8.93,8.93,8.93,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,8.0,4.0,12.0,9,3,2,2017
7745,2017-02-23,2017-02-23 10:00:00+00:00,2017-02-23 10:00:00+00:00,10.1,no2,µg/m³,10.1,10.1,10.1,10.1,10.1,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,10.0,4.0,12.0,10,3,2,2017
7745,2017-02-23,2017-02-23 11:00:00+00:00,2017-02-23 11:00:00+00:00,7.65,no2,µg/m³,7.65,7.65,7.65,7.65,7.65,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,7.0,4.0,12.0,11,3,2,2017
7745,2017-02-23,2017-02-23 12:00:00+00:00,2017-02-23 12:00:00+00:00,6.78,no2,µg/m³,6.78,6.78,6.78,6.78,6.78,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,6.0,4.0,12.0,12,3,2,2017
7745,2017-02-23,2017-02-23 13:00:00+00:00,2017-02-23 13:00:00+00:00,4.75,no2,µg/m³,4.75,4.75,4.75,4.75,4.75,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,4.0,5.0,12.0,13,3,2,2017
7745,2017-02-23,2017-02-23 14:00:00+00:00,2017-02-23 14:00:00+00:00,4.78,no2,µg/m³,4.78,4.78,4.78,4.78,4.78,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,5.0,5.0,12.0,14,3,2,2017
7745,2017-02-23,2017-02-23 15:00:00+00:00,2017-02-23 15:00:00+00:00,5.95,no2,µg/m³,5.95,5.95,5.95,5.95,5.95,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,6.0,5.0,12.0,15,3,2,2017
7745,2017-02-23,2017-02-23 16:00:00+00:00,2017-02-23 16:00:00+00:00,5.33,no2,µg/m³,5.33,5.33,5.33,5.33,5.33,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,5.0,4.0,12.0,16,3,2,2017
7745,2017-02-23,2017-02-23 17:00:00+00:00,2017-02-23 17:00:00+00:00,6.83,no2,µg/m³,6.83,6.83,6.83,6.83,6.83,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,6.0,5.0,12.0,17,3,2,2017
7745,2017-02-23,2017-02-23 18:00:00+00:00,2017-02-23 18:00:00+00:00,5.43,no2,µg/m³,5.43,5.43,5.43,5.43,5.43,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,5.0,5.0,12.0,18,3,2,2017
7745,2017-02-23,2017-02-23 19:00:00+00:00,2017-02-23 19:00:00+00:00,5.7,no2,µg/m³,5.7,5.7,5.7,5.7,5.7,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,5.0,8.0,12.0,19,3,2,2017
7745,2017-02-23,2017-02-23 20:00:00+00:00,2017-02-23 20:00:00+00:00,4.63,no2,µg/m³,4.63,4.63,4.63,4.63,4.63,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,4.0,8.0,12.0,20,3,2,2017
7745,2017-02-23,2017-02-23 21:00:00+00:00,2017-02-23 21:00:00+00:00,4.5,no2,µg/m³,4.5,4.5,4.5,4.5,4.5,0.0,1,1,100.0,3485,Heming,48.6947249998427,6.965274999684525,4.0,16.0,12.0,21,3,2,2017
